# VesselTripName,NetStation,Replicate,CollectedBy,DateUTC,StartTimeUTC,EndTimeUTC,Duration,NetTypeMeshSizeDimensionsNetMouth,VesselSpeed,VesselDirection,WindSpeed,WindDirection,SeaTemperature,Salinity,Depth,StartLatitude,StartLongitude,EndLatitude,EndLongitude,StartFlowmeter,EndFlowmeter,Flow,HardPlastics,SoftPlastics,PlasticLines,Styrofoam,Pellets,TotalPlastics,DriftingWood,Pumice,Cs
Southern Surveyor/ss2012_t01,17,3,"Julia Reisser, Christopher Caldow",13.04.12,5:12,5:27,15,Manta/ 333/ 1 x 0.17,3,8,5,205,19.9,35.47,2102.5,-37.61427,150.40195,-37.60168,150.40358,381815,434312,52497,0,2,2,0,0,4,0,0,2840.5362
Southern Surveyor/ss2012_t01,18,1,"Julia Reisser, Christopher Caldow",13.04.12,19:07,19:22,15,Manta/ 333/ 1 x 0.17,1.6,24,12,329,20.5,35.51,410,-35.40383,150.83983,-35.39697,150.8436,434310,467093,32783,4,3,0,0,0,7,0,0,8361.9925
Southern Surveyor/ss2012_t01,18,2,"Julia Reisser, Christopher Caldow",13.04.12,19:24,19:38,14,Manta/ 333/ 1 x 0.17,2,24,10,308,20.5,35.52,419.2,-35.39598,150.84418,-35.38882,150.8481,467093,501204,34111,16,0,0,0,0,16,0,0,18324.0019
Southern Surveyor/ss2012_t01,18,3,"Julia Reisser, Christopher Caldow",13.04.12,19:40,19:55,15,Manta/ 333/ 1 x 0.17,2,24,8,323,20.5,35.51,427.4,-35.38805,150.84853,-35.3803,150.85293,501204,537330,36126,6,0,0,0,0,6,0,0,6313.0237
Southern Surveyor/ss2012_t01,19,1,"Julia Reisser, Christopher Caldow",14.04.12,19:58,20:13,15,Manta/ 333/ 1 x 0.17,2.1,16,7,305,22.7,35.38,1736.8,-33.88162,152.00315,-33.8747,152.01062,532323,568701,36378,2,0,1,0,0,3,0,0,2903.5985
Southern Surveyor/ss2012_t01,19,2,"Julia Reisser, Christopher Caldow",14.04.12,20:15,20:30,15,Manta/ 333/ 1 x 0.17,1.8,17,5,301,22.7,35.39,1769.5,-33.87417,152.0111,-33.86898,152.01732,568701,595422,26721,6,0,0,0,0,6,0,0,7374.206
Southern Surveyor/ss2012_t01,19,3,"Julia Reisser, Christopher Caldow",14.04.12,20:31,20:46,15,Manta/ 333/ 1 x 0.17,1.9,29,5,321,22.7,35.37,1807.3,-33.86847,152.01795,-33.86335,152.02368,595422,621781,26359,3,0,0,0,0,3,0,0,3858.9552
Southern Surveyor/ss2012_t01,20,1,"Julia Reisser, Dagmar Kubistin",15.04.12,2:58,3:14,16,Manta/ 333/ 1 x 0.17,3.1,40,10,17,24,35.49,2172,-33.17183,152.69227,-33.16665,152.6988,621781,671330,49549,5,0,0,0,0,5,0,0,5966.1412
Southern Surveyor/ss2012_t01,20,2,"Julia Reisser, Dagmar Kubistin",15.04.12,3:15,3:31,16,Manta/ 333/ 1 x 0.17,1.5,33,8,25,23.9,35.46,2332,-33.16635,152.69913,-33.16285,152.70368,671330,716857,45527,11,0,0,0,0,11,0,0,19119.8659
Southern Surveyor/ss2012_t01,20,3,"Julia Reisser, Dagmar Kubistin",15.04.12,3:32,3:47,15,Manta/ 333/ 1 x 0.17,1.24,38,7,19,23.8,35.49,2418,-33.16257,152.70397,-33.15925,152.70818,716857,762855,45998,18,0,0,0,0,18,0,0,33412.2331
Southern Surveyor/ss2012_t01,21,1,"Julia Reisser, Christopher Caldow",15.04.12,19:15,19:29,14,Manta/ 333/ 1 x 0.17,2.8,301,7,205,25.1,35.16,1174.5,-31.03155,153.37642,-31.03477,153.36635,762854,795847,32993,1,0,1,0,0,2,0,0,1954.407
Southern Surveyor/ss2012_t01,21,2,"Julia Reisser, Christopher Caldow",15.04.12,19:30,19:46,16,Manta/ 333/ 1 x 0.17,1.5,351,5,208,25.1,35.18,1165.7,-31.03485,153.36548,-31.03567,153.36007,795847,831773,35926,2,0,0,0,0,2,0,0,3818.5531
Southern Surveyor/ss2012_t01,21,3,"Julia Reisser, Christopher Caldow",15.04.12,19:48,20:03,15,Manta/ 333/ 1 x 0.17,1,1,6,219,25.1,35.2,1148,-31.03563,153.35962,-31.03503,153.3549,831773,871988,40215,2,0,0,0,0,2,0,0,4404.427
Southern Surveyor/ss2012_t01,22,1,"Julia Reisser, Dagmar Kubistin",16.04.12,22:13,22:28,15,Manta/ 333/ 1 x 0.17,0.8,14,14,354,25,35.36,969.3,-28.34203,153.92107,-28.34092,153.92268,871992,909334,37342,2,0,0,0,0,2,0,0,9943.1007
Southern Surveyor/ss2012_t01,22,2,"Julia Reisser, Dagmar Kubistin",16.04.12,22:30,22:45,15,Manta/ 333/ 1 x 0.17,0.7,6,12,355,25,35.35,1005.6,-28.34075,153.92282,-28.3384,153.92398,909341,952674,43333,6,0,0,0,0,6,0,0,21021.846
Southern Surveyor/ss2012_t01,22,3,"Julia Reisser, Dagmar Kubistin",16.04.12,22:47,22:03,16,Manta/ 333/ 1 x 0.17,0.9,7,10,344,25,35.35,1090.5,-28.33793,153.92417,-28.33465,153.92462,952674,993731,41057,11,0,1,0,0,12,0,1,32595.072
Southern Surveyor/ss2012_t01,23,1,"Julia Reisser, Christopher Caldow",17.04.12,19:52,20:07,15,Manta/ 333/ 1 x 0.17,1.6,12,12,188,24.9,35.18,47.4,-26.72982,153.37792,-26.72098,153.37907,993726,1029419,35693,7,0,0,0,0,7,0,0,7064.3969
Southern Surveyor/ss2012_t01,23,2,"Julia Reisser, Christopher Caldow",17.04.12,20:08,20:23,15,Manta/ 333/ 1 x 0.17,2.5,5,14,202,24.9,35.22,48.7,-26.72035,153.37913,-26.71007,153.38072,29419,66903,37484,5,0,0,0,0,5,0,0,4327.0605
Southern Surveyor/ss2012_t01,23,3,"Julia Reisser, Christopher Caldow",17.04.12,20:25,20:41,16,Manta/ 333/ 1 x 0.17,2.3,4,14,203,24.8,35.22,46.9,-26.7091,153.38078,-26.69895,153.37972,66903,112831,45928,7,0,0,0,0,7,0,0,6168.0133
Southern Surveyor/ss2012_t02,24,1,"Julia Reisser, Dagmar Kubistin",04.05.12,8:17,8:30,13,Manta/ 333/ 1 x 0.17,2.7,165,27,177,25.6,35.175,4184.4,-24.9075,155.20875,-24.91807,155.20227,112941,147314,34373,1,0,0,0,0,1,0,0,743.1368
